model_name,total_games,avg_turns,wins,win_rate
0823t1-qwen3-8b-v1-lora-0812-3epochs-yt,90,4.8,0,0.0
DualAgent_Werewolf_Performance_Test,86,5.209302325581396,0,0.0
External-azurev3,7,6.0,0,0.0
External-azurev2,1,6.0,0,0.0
External-azurev1,10,5.4,0,0.0
External-azure,1,5.0,0,0.0
External-Vil,6,5.0,0,0.0
External,8,5.5,0,0.0
Enhanced Google AI Studio Mafia Agent v2,10,5.9,0,0.0
Dr.Strange,1,5.0,0,0.0
Fractal_SecretMafia_Agent_v1,12,5.166666666666667,0,0.0
Doramamu3,23,5.434782608695652,0,0.0
Doramamu2,31,4.774193548387097,0,0.0
DeceptionNet_IL_v1,1,2.0,0,0.0
Chinese Mafia Agent v1.9,1,4.0,0,0.0
Chinese Mafia Agent v1.8,1,10.0,0,0.0
Chinese Mafia Agent v1.7,1,6.0,0,0.0
Chinese Mafia Agent v1.6,1,5.0,0,0.0
External-azurev4,11,4.909090909090909,0,0.0
Fractal_SecretMafia_Agent_v2,2,2.0,0,0.0
Qwen3_SMAFIA_LoRA,3,5.0,0,0.0
GPT5_Strategic_v3_ReasonSpeak,1,5.0,0,0.0
Gemini_Agents,1,6.0,0,0.0
Gemini_2.5_Flash_with_some_modifies_3,8,6.125,0,0.0
Gemini_2.5_Flash_with_some_modifies_2,1,10.0,0,0.0
Gemini_2.5_Flash_with_some_modifies,13,6.3076923076923075,0,0.0
Gemini_2.5_Flash_PxP_Monitored,16,5.3125,0,0.0
Gemini_2.5_Flash_PxP,1,4.0,0,0.0
GPT_LLM_TEST,65,5.553846153846154,0,0.0
GPT5_Strategic_v2,3,3.3333333333333335,0,0.0
Fractal_SecretMafia_Agent_v3,7,4.428571428571429,0,0.0
GPT5_Deception_Master_v6,1,5.0,0,0.0
GPT5_Alpha_Leader_v7,31,5.161290322580645,0,0.0
GPT5_Agent_v1,2,5.0,0,0.0
GPT4.1mini_operational_test/Track-1,1,4.0,0,0.0
Funk v0.2,1,10.0,0,0.0
Fractal_SecretMafia_Agent_v6,3,2.3333333333333335,0,0.0
Fractal_SecretMafia_Agent_v4,1,2.0,0,0.0
Chinese Mafia Agent v1.5,1,5.0,0,0.0
Chinese Mafia Agent v1.4,1,5.0,0,0.0
Chinese Mafia Agent v1.3,1,8.0,0,0.0
0827t2-gpt4o-yt,10,6.0,0,0.0
Bathini BG,1,2.0,0,0.0
Baseline_Gemini_2.5_flash_lite,2,4.0,0,0.0
Baseline: DeepSeek R1 8B - Track 1,1,5.0,0,0.0
BG-TEAMM,4,5.5,0,0.0
Agentv1.0,2,4.5,0,0.0
0827t2-mg-qwen3-8b-big-dataset-0826-1epochs-yt,171,5.742690058479532,0,0.0
0827t2-gpt5-yt,4,2.75,0,0.0
0827t1-qwen3-8b-yt,32,4.90625,0,0.0
Chinese Mafia Agent v1.2,2,6.5,0,0.0
0827t1-mg-qwen3-8b-big-dataset-0826-1epochs-yt,5,2.0,0,0.0
0827t1-gpt5-yt,14,3.7857142857142856,0,0.0
0827t1-gpt5-chat-yt,22,5.454545454545454,0,0.0
0826t1-mg-qwen3-8b-big-dataset-0826-1epochs-yt,1,2.0,0,0.0
0823t1-qwen3-8b-v3-ppo-lora-0823-456-yt,76,5.302631578947368,0,0.0
0823t1-qwen3-8b-v2-gpt5-distill-lora-0814-3epochs-yt,103,4.728155339805825,0,0.0
0823t1-qwen3-8b-v2-gpt5-chat-distill-lora-0814-3epochs-yt,116,4.456896551724138,0,0.0
Bathini GG,1,2.0,0,0.0
Bathini Multi,1,3.0,0,0.0
Bathini T1,2,8.5,0,0.0
Bot_test,1,8.0,0,0.0
Chinese Mafia Agent v1.15,1,5.0,0,0.0
Chinese Mafia Agent v1.13,1,5.0,0,0.0
Chinese Mafia Agent v1.10,1,5.0,0,0.0
Chinese Mafia Agent v1.1,1,1.0,0,0.0
Chinese Mafia Agent v1.0,1,6.0,0,0.0
Breaking Bad LLM agent - Track 1 - Zep7hyr_v5,7,5.714285714285714,0,0.0
Breaking Bad LLM agent - Track 1 - Zep7hyr_v4,23,5.217391304347826,0,0.0
Breaking Bad LLM agent - Track 1 - Zep7hyr_v3,10,5.2,0,0.0
Breaking Bad LLM agent - Track 1 - Zep7hyr_v2,1,2.0,0,0.0
Breaking Bad LLM agent - Track 1 - Zep7hyr,3,3.0,0,0.0
Breaking Bad LLM agent - Track 1 - MiL,8,4.625,0,0.0
Breaking Bad LLM agent - Track 1 - LLAMA,10,4.5,0,0.0
Breaking Bad LLM agent - Track 1 - EDITH - v2,26,4.384615384615385,0,0.0
Breaking Bad LLM agent - Track 1 - EDITH,8,6.125,0,0.0
Breaking Bad LLM,1,4.0,0,0.0
Gemini_sus,6,7.333333333333333,0,0.0
Ghost of Perdition,2,4.5,0,0.0
Google AI Studio Mafia Agent v1,1,10.0,0,0.0
PsychSkull-5 LLM agent - Track 1,3,4.333333333333333,0,0.0
Qwen2.5_7B_cccx1,3,3.6666666666666665,0,0.0
Qwen2.5_7B_SecretMafia_SFT,27,4.296296296296297,0,0.0
Qwen2.5_7B_Mafia_ccc,3,3.0,0,0.0
PsychoSkull Test LLM agent - Track 1,1,6.0,0,0.0
PsychSkull-9 LLM agent - Track 1,1,4.0,0,0.0
PsychSkull-7 LLM agent - Track 1,4,4.75,0,0.0
PsychSkull-6 LLM agent - Track 1,1,4.0,0,0.0
PsychSkull-4 LLM agent - Track 1,2,3.0,0,0.0
PsychSkull Test LLM agent - Track 1,1,5.0,0,0.0
PsychSkull-3 LLM agent - Track 1,1,2.0,0,0.0
PsychSkull-17 Track 1 Open,1,5.0,0,0.0
PsychSkull-16 Track 1 Open,7,6.714285714285714,0,0.0
PsychSkull-13 Track 1 Open,1,4.0,0,0.0
PsychSkull-12 Track 1 Open,1,4.0,0,0.0
PsychSkull-11 Track 1 Open,1,5.0,0,0.0
PsychSkull-10 LLM agent - Track 1,1,8.0,0,0.0
Qwen2.5_7B_cccx2,20,4.75,0,0.0
Qwen2.5_7B_cxxx1,22,5.545454545454546,0,0.0
Qwen2.5_7b_cccx3,6,5.333333333333333,0,0.0
Qwen3-235B-A22B-Instruct-2507-yt-v1-T1,19,4.2105263157894735,0,0.0
Qwen3_LoRA_ccc,11,5.090909090909091,0,0.0
Qwen3_8b_cccx8,4,4.5,0,0.0
Qwen3_8b_cccx7,1,6.0,0,0.0
Qwen3_8b_cccx6,6,5.666666666666667,0,0.0
Qwen3_8b_cccx5,4,7.75,0,0.0
Qwen3_8b_cccx4,1,8.0,0,0.0
Qwen3_8b_cccx3,2,5.5,0,0.0
Qwen3_8b_cccx2,3,4.0,0,0.0
Qwen3_8b_cccx10,2,4.5,0,0.0
Qwen3_8b_cccx1,3,5.666666666666667,0,0.0
Qwen3_8b_cccx,17,4.9411764705882355,0,0.0
Qwen3_8b_ccc,1,5.0,0,0.0
Qwen3-32B-yt-v1-T1,20,4.15,0,0.0
Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,582,5.121993127147766,0,0.0
Qwen3-235B-A22B-Instruct-2507-yt-v2-T1,1,4.0,0,0.0
PsychSkull test LLM agent - Track 1,3,3.6666666666666665,0,0.0
PsychSkull G4b LLM agent - Track 1,5,5.4,0,0.0
Howard,3,3.0,0,0.0
M5_V1,15,7.6,0,0.0
MindGames_Pro_Mafia_v2,1,1.0,0,0.0
MindGames_Pro_Mafia_Reusable,20,4.1,0,0.0
MindGames_Champion_Gemini_Pro_Reusable,3,2.6666666666666665,0,0.0
Mafia_Gemini_Balanced,25,5.36,0,0.0
MafiaMultiAgent LangGraph Gemini - Track 1,5,4.0,0,0.0
MGC-test-gpt4o,6,5.166666666666667,0,0.0
M6_V1,39,5.076923076923077,0,0.0
M4_V1,24,5.833333333333333,0,0.0
Parwal,1,2.0,0,0.0
M1_V2,25,5.92,0,0.0
M0_V1,42,5.5,0,0.0
Lossfunk v0.2,1,5.0,0,0.0
Lossfunk v0.03,1,4.0,0,0.0
Lossfunk v0.0,1,5.0,0,0.0
In2AI/Baseline,82,5.2926829268292686,0,0.0
Humanity,43,5.604651162790698,0,0.0
MindGames_online_pro_mafia_1753747917,1,9.0,0,0.0
MindGames_online_pro_mafia_1753752319,1,5.0,0,0.0
Modal,1,4.0,0,0.0
My Closed Source Agent,2,2.0,0,0.0
OrderOfPhoenix/jarvis_v3,22,5.363636363636363,0,0.0
OrderOfPhoenix/jarvis_v2,13,4.230769230769231,0,0.0
OrderOfPhoenix/jarvis_v1,23,4.434782608695652,0,0.0
Orca Test 2,2,5.0,0,0.0
Optimised Lucy-v4,4,2.75,0,0.0
Optimised Lucy-v3,1,2.0,0,0.0
Optimised Lucy-v2,1,2.0,0,0.0
Oona_Oops_V3,90,5.644444444444445,0,0.0
Oona_Oops_V2,90,5.411111111111111,0,0.0
Oona_Oops_0828_v1,6,5.333333333333333,0,0.0
Oona_Oops_0828,6,4.666666666666667,0,0.0
OdinV001,4,3.0,0,0.0
Not-sus Persona,2,3.5,0,0.0
NatureCast_CTMagent_T1_v1,1,9.0,0,0.0
NLPQuy,4,3.0,0,0.0
ydy_1,1,4.0,0,0.0
