model_name,total_games,wins,avg_turns,win_rate
Breaking Bad LLM agent - Track 1 - Zep7hyr_v3,10,4,5.2,0.4
M1_V2,25,10,5.92,0.4
google/gemma-3-12b-it,1213,482,5.694146743610882,0.3973619126133553
Vito-7,38,15,4.157894736842105,0.39473684210526316
OrderOfPhoenix/jarvis_v1,23,9,4.434782608695652,0.391304347826087
Vito-1.0,18,7,4.277777777777778,0.3888888888888889
qwen/qwen-2.5-7b-instruct,2136,830,5.300093632958801,0.38857677902621723
Breaking Bad LLM agent - Track 1 - EDITH - v2,26,10,4.384615384615385,0.38461538461538464
External,8,3,5.5,0.375
Track1_Model_20250924_1851,8,3,4.125,0.375
agent_baseline_vanila,414,147,5.041062801932367,0.35507246376811596
ZeroR-SecretMafia-v2,82,29,5.158536585365853,0.35365853658536583
ZeroR-SecretMafia-Efficient-v2,54,19,5.037037037037037,0.35185185185185186
Qwen3-32B-yt-v1-T1,20,7,4.15,0.35
Qwen2.5_7B_cccx2,20,7,4.75,0.35
Humanity,43,15,5.604651162790698,0.3488372093023256
stark-1,26,9,4.269230769230769,0.34615384615384615
0823t1-qwen3-8b-v2-gpt5-chat-distill-lora-0814-3epochs-yt,116,40,4.456896551724138,0.3448275862068966
RLGame-finetune,6,2,5.833333333333333,0.3333333333333333
M4_V1,24,8,5.833333333333333,0.3333333333333333
M5_V1,15,5,7.6,0.3333333333333333
Qwen3_8b_cccx1,3,1,5.666666666666667,0.3333333333333333
Qwen2.5_7b_cccx3,6,2,5.333333333333333,0.3333333333333333
Social Deduction Track,9,3,5.0,0.3333333333333333
Fractal_SecretMafia_Agent_v6,3,1,2.3333333333333335,0.3333333333333333
Howard,3,1,3.0,0.3333333333333333
test-gpt4o-v3,3,1,5.0,0.3333333333333333
GPT5_Strategic_v2,3,1,3.3333333333333335,0.3333333333333333
PsychSkull-5 LLM agent - Track 1,3,1,4.333333333333333,0.3333333333333333
Qwen2.5_7B_cccx1,3,1,3.6666666666666665,0.3333333333333333
DualAgent_Werewolf_Performance_Test,86,28,5.209302325581396,0.32558139534883723
openai/gpt-4.1-nano,2192,695,4.911952554744525,0.3170620437956204
M6_V1,39,12,5.076923076923077,0.3076923076923077
Vito-db_1_6,13,4,3.8461538461538463,0.3076923076923077
RLGame-ft,23,7,5.521739130434782,0.30434782608695654
gemini2.5,10,3,5.1,0.3
0827t2-gpt4o-yt,10,3,6.0,0.3
RLGame-finetune-v2,21,6,5.9523809523809526,0.2857142857142857
Shocklab_Agent_v3,14,4,5.571428571428571,0.2857142857142857
Breaking Bad LLM agent - Track 1 - Zep7hyr_v5,7,2,5.714285714285714,0.2857142857142857
martianlanternv6,7,2,3.857142857142857,0.2857142857142857
jarvis_qwen3_test_10_3,15,4,5.266666666666667,0.26666666666666666
martianlantern,4,1,7.5,0.25
ZeroR-SecretMafia-v3.2,4,1,3.5,0.25
OdinV001,4,1,3.0,0.25
T1-Base-Gemini-Complex-Akash-V1,4,1,5.25,0.25
Optimised Lucy-v4,4,1,2.75,0.25
Fractal_SecretMafia_Agent_v1,12,3,5.166666666666667,0.25
Breaking Bad LLM agent - Track 1 - EDITH,8,2,6.125,0.25
Mafia_Gemini_Balanced,25,6,5.36,0.24
OrderOfPhoenix/jarvis_v2,13,3,4.230769230769231,0.23076923076923078
agent_baseline_8b,71,16,2.5492957746478875,0.22535211267605634
ZeroR-SecretMafia-v3,5,1,4.6,0.2
Breaking Bad LLM agent - Track 1 - LLAMA,10,2,4.5,0.2
agent_baseline_test1,18,3,2.5555555555555554,0.16666666666666666
RLGame-ts-v4,6,1,4.833333333333333,0.16666666666666666
ZeroR-SecretMafia-v3.1,13,2,5.769230769230769,0.15384615384615385
RLGame-ts-v6,14,2,5.428571428571429,0.14285714285714285
test-gpt4o-v2,2,0,3.5,0.0
Breaking Bad LLM agent - Track 1 - Zep7hyr_v2,1,0,2.0,0.0
0827t1-mg-qwen3-8b-big-dataset-0826-1epochs-yt,5,0,2.0,0.0
jarvis_qwen3_dpo_103,3,0,4.0,0.0
ydy,2,0,2.0,0.0
log_fixer,1,0,1.0,0.0
Bathini Multi,1,0,3.0,0.0
m5_p1,3,0,8.333333333333334,0.0
test-gpt4o-v5,4,0,6.25,0.0
m1_p6,3,0,6.666666666666667,0.0
Bathini GG,1,0,2.0,0.0
jarvis_track_testmodal1_ydy,2,0,9.5,0.0
Bathini BG,1,0,2.0,0.0
BG-TEAMM,4,0,5.5,0.0
